triplet,A,B,C,cos1,cos2,cos_AC,tjs_log,prod,penalty_term,neg_count,bridge_novelty,TJS_AC,outlier_flag,z_tjs,novelty,mode,z_prior_NET,z_prior_ADS,mTJS2
sponge -- integrate -- reduced graphene oxide,sponge,integrate,reduced graphene oxide,0.14759665727615356,0.08756691962480545,-0.0002533160150051117,3.605172202519501,0.027182763469638844,0.0,0,1.0,3.605172202519501,0,1.022049777687204,1.0,incorporate,-0.2586492332682913,-0.3841461036557886,0.5595433548015982
polyurethane -- disperse -- graphene,polyurethane,disperse,graphene,0.1962859183549881,0.13949298858642578,0.29944726824760437,3.0646654029147,0.046669454715839144,0.0,0,0.7005527317523956,2.146959719918949,0,0.05914137477664114,0.7005527317523956,incorporate,0.32108522138164897,0.3555448554032505,0.5362283919282309
polyurethane -- disperse -- graphene oxide,polyurethane,disperse,graphene oxide,0.1962859183549881,0.1175069510936737,0.27764973044395447,3.1879925777379863,0.0412546032809495,0.0,0,0.7223502695560455,2.3028472978717067,0,0.27884771895471633,0.7223502695560455,incorporate,0.3425089629933254,0.06370501191404875,0.5353171062819506
polyurethane -- disperse -- reduced graphene oxide,polyurethane,disperse,reduced graphene oxide,0.1962859183549881,0.13251173496246338,0.2315397411584854,3.102202955089256,0.04495007025579248,0.0,0,0.7684602588415146,2.383919685846801,0,0.12601421419328032,0.7684602588415146,incorporate,0.8486438610644508,-0.25709349263895814,0.4295257367207842
sponge -- embed -- graphene oxide,sponge,embed,graphene oxide,0.2154458463191986,0.1419859379529953,0.04873478040099144,2.9766775772351717,0.05096186978131798,0.0,0,0.9512652195990086,2.8316098491840602,0,-0.09760821054327509,0.9512652195990086,incorporate,0.08263437542186368,0.5369562068968547,0.3815373802273269
sponge -- incorporate -- graphene oxide,sponge,incorporate,graphene oxide,0.12791302800178528,0.1055213138461113,0.04873478040099144,3.587432945049891,0.027669267865177632,0.0,0,0.9512652195990086,3.4126001882696024,0,0.990447436900056,0.9512652195990086,incorporate,-0.5119938223683147,-0.40504574205322413,0.3592145498364878
polyurethane -- coat -- graphene,polyurethane,coat,graphene,0.3501427173614502,0.20192697644233704,0.29944726824760437,2.29455001159253,0.10080674493029078,0.0,0,0.7005527317523956,1.607453278763638,0,-1.312812839410985,0.7005527317523956,coat,0.4598530920503402,1.6451827781706514,0.2792452383557402
sponge -- coat -- reduced graphene oxide,sponge,coat,reduced graphene oxide,0.20746177434921265,0.0706586018204689,-0.0002533160150051117,3.471674212827334,0.03106497771519306,0.0,0,1.0,3.471674212827334,0,0.7842242107558652,1.0,coat,-0.4693933878167006,-0.3072640716976621,0.2567769207077152
sponge -- integrate -- graphene oxide,sponge,integrate,graphene oxide,0.14759665727615356,0.1401192843914032,0.04873478040099144,3.2816310016573085,0.037566935079475665,0.0,0,0.9512652195990086,3.121701435434454,0,0.44566379840670894,0.9512652195990086,incorporate,-0.7455485826062236,0.12684975392717113,0.0998144519847117
sponge -- integrate -- graphene,sponge,integrate,graphene,0.14759665727615356,0.18102028965950012,0.083039790391922,3.086777148723829,0.045648836999685964,0.0,0,0.916960209608078,2.8304518213072276,0,0.09853326745625268,0.916960209608078,incorporate,-0.8055691072804064,0.43586497527685786,-0.036116216690504854
sponge -- embed -- graphene,sponge,embed,graphene,0.2154458463191986,0.193342387676239,0.083039790391922,2.739630252342191,0.06459422604205378,0.0,0,0.916960209608078,2.512131930436327,0,-0.5199060635838155,0.916960209608078,incorporate,-0.11132243950507925,0.6022899184356045,-0.1048675925383794
graphene oxide -- dye -- adsorption,graphene oxide,dye,adsorption,0.2209465503692627,0.24170294404029846,0.28914114832878113,2.5378530181251726,0.07903590642027694,0.0,0,0.7108588516712189,1.8040552821747973,0,-0.8793705411550132,0.7108588516712189,baseline,0.4689174175419579,0.3742153596966067,-0.29864780287255316
sponge -- deposit -- reduced graphene oxide,sponge,deposit,reduced graphene oxide,0.18853464722633362,0.08459614962339401,-0.0002533160150051117,3.4387171760629487,0.0321058450684391,0.0,0,1.0,3.4387171760629487,0,0.7255115217412917,1.0,coat,-0.1461892198763795,-1.195914406975648,-0.31893353576505445
sponge -- coat -- graphene oxide,sponge,coat,graphene oxide,0.20746177434921265,0.13355976343154907,0.04873478040099144,3.052098997263583,0.047259622392208336,0.0,0,0.9512652195990086,2.903355622869856,0,0.03675442681467128,0.9512652195990086,coat,-1.0556196032567198,0.11615191845651303,-0.5036958003741503
sponge -- mix -- reduced graphene oxide,sponge,mix,reduced graphene oxide,0.24892175197601318,0.08109963685274124,-0.0002533160150051117,3.239371097135802,0.03918853313144051,0.0,0,1.0,3.239371097135802,0,0.3703781272556529,1.0,incorporate,-0.19743103791361968,-0.9939438118869881,-0.5432355450021094
graphene -- dye -- adsorption,graphene,dye,adsorption,0.26482170820236206,0.24170294404029846,0.25759440660476685,2.387768115565381,0.09183441913042478,0.0,0,0.7424055933952332,1.7726924047265344,0,-1.1467455564748992,0.7424055933952332,baseline,0.25632122920945005,0.5091321951743152,-0.585647062809777
reduced graphene oxide -- dye -- adsorption,reduced graphene oxide,dye,adsorption,0.17118564248085022,0.24170294404029846,0.29588788747787476,2.7407722283111875,0.0645205030911089,0.0,0,0.7041121125221252,1.9298109236181629,0,-0.5178716428193173,0.7041121125221252,baseline,0.5327231401691349,-0.6025389907589609,-0.6802689513250051
polyurethane -- coating -- reduced graphene oxide,polyurethane,coating,reduced graphene oxide,0.45735985040664673,0.16869348287582397,0.2315397411584854,2.198618914161082,0.11095629275678662,0.0,0,0.7684602588415146,1.6895512598700748,0,-1.4837132978043168,0.7684602588415146,coat,0.45080505913599733,0.5390146415425136,-0.7820185490887076
polyurethane -- surface treatment -- graphene,polyurethane,surface treatment,graphene,0.32672926783561707,0.1714780032634735,0.29944726824760437,2.4836604744534116,0.08343724601114277,0.0,0,0.7005527317523956,1.7399351301237886,0,-0.9759141104769722,0.7005527317523956,other,0.2955351351989378,-0.09279626802369978,-0.8728300437765694
sponge -- mix -- graphene oxide,sponge,mix,graphene oxide,0.24892175197601318,0.1036854088306427,0.04873478040099144,3.0804210046484677,0.045939911660805556,0.0,0,0.9512652195990086,2.930297363444323,0,0.08720984924069922,0.9512652195990086,incorporate,-0.7682517902863402,-0.6487734411293807,-0.8927599778346095
sponge -- deposit -- graphene,sponge,deposit,graphene,0.18853464722633362,0.15817490220069885,0.083039790391922,3.002617384469421,0.0496569268578202,0.0,0,0.916960209608078,2.7532806662359395,0,-0.051396658026263864,0.916960209608078,coat,-0.5877942068855404,-0.6284863125533363,-0.9068622322002571
sponge -- coat -- graphene,sponge,coat,graphene,0.20746177434921265,0.20192697644233704,0.083039790391922,2.73550002851365,0.06486156636127638,0.0,0,0.916960209608078,2.50834467952878,0,-0.527264023249284,0.916960209608078,coat,-1.1035962558074524,0.30048624714695277,-0.9490327790161932
sponge -- mix -- graphene,sponge,mix,graphene,0.24892175197601318,0.1379554271697998,0.083039790391922,2.879123872702202,0.0561839655829965,0.0,0,0.916960209608078,2.6400420298006324,0,-0.2713993300972435,0.916960209608078,incorporate,-0.7567249581151831,-0.30816275414052297,-0.9719645082787718
polyurethane -- coating -- graphene,polyurethane,coating,graphene,0.45735985040664673,0.28101563453674316,0.29944726824760437,1.7841244335093054,0.16794404282082326,0.0,0,0.7005527317523956,1.2498732456811392,0,-2.2221317944290915,0.7005527317523956,coat,0.07992648257847075,1.491354952986106,-0.9810919424931239
sponge -- deposit -- graphene oxide,sponge,deposit,graphene oxide,0.18853464722633362,0.14613448083400726,0.04873478040099144,3.0621954361401826,0.04678486919466001,0.0,0,0.9512652195990086,2.9129600140149727,0,0.05474114935148154,0.9512652195990086,coat,-0.6340747688918049,-0.8526307672908178,-1.0078083258162556
polyurethane -- coating -- graphene oxide,polyurethane,coating,graphene oxide,0.45735985040664673,0.23260286450386047,0.27764973044395447,1.942247435573168,0.14338134705916852,0.0,0,0.7223502695560455,1.402982958630816,0,-1.9404369711779073,0.7223502695560455,coat,-0.013450932805685217,1.0890474570373163,-1.0772695652314654
